City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yuzhno-kurilsk,44.0306,145.8556,275.58,80,25,2.98,RU,1699814974
1,vadso,70.0744,29.7487,269.24,80,0,6.17,NO,1699814974
2,opuwo,-18.0607,13.84,300.33,32,97,5.93,NA,1699814974
3,adamstown,-25.066,-130.1015,295.86,81,100,7.59,PN,1699814975
4,likasi,-10.9814,26.7333,291.47,94,100,1.79,CD,1699814975
5,tiksi,71.6872,128.8694,257.66,90,100,7.38,RU,1699814975
6,effium,6.6292,8.0593,299.04,83,98,2.62,NG,1699814975
7,ciudad lazaro cardenas,17.9583,-102.2,304.03,62,6,2.31,MX,1699814975
8,puerto ayora,-0.7393,-90.3518,302.13,88,34,3.58,EC,1699814732
9,saipan,15.1355,145.701,301.54,78,20,6.17,MP,1699814976
10,port-aux-francais,-49.35,70.2167,279.4,93,100,13.54,TF,1699814976
11,novodvinsk,64.4165,40.8122,269.7,93,18,2.77,RU,1699814976
12,hamilton,39.1834,-84.5333,288.48,47,0,4.63,US,1699814866
13,axim,4.8699,-2.2405,299.81,86,4,3.52,GH,1699814976
14,blackmans bay,-43.0167,147.3167,281.22,78,9,0.45,AU,1699814977
15,udachny,66.4167,112.4,256.64,95,100,2.61,RU,1699814977
16,upington,-28.4478,21.2561,298.36,18,0,2.06,ZA,1699814977
17,waitangi,-43.9535,-176.5597,286.38,81,100,2.68,NZ,1699814977
18,thompson,55.7435,-97.8558,271.24,93,100,2.06,CA,1699814977
19,ribeira grande,38.5167,-28.7,294.37,88,75,10.8,PT,1699814977
20,west island,-12.1568,96.8225,299.14,89,40,4.12,CC,1699814977
21,sao joao da barra,-21.6403,-41.0511,311.2,76,56,5.09,BR,1699814978
22,kattivakkam,13.2167,80.3167,301.52,78,100,5.76,IN,1699814978
23,grytviken,-54.2811,-36.5092,278.61,81,100,2.51,GS,1699814978
24,margate,51.3813,1.3862,283.65,86,100,2.24,GB,1699814978
25,papatowai,-46.5619,169.4708,284.54,89,100,1.92,NZ,1699814978
26,edinburgh of the seven seas,-37.0676,-12.3116,287.37,81,4,8.38,SH,1699814978
27,conduaga,8.862,117.4893,299.23,82,49,1.11,PH,1699814979
28,utrik,11.2278,169.8474,301.07,80,100,8.73,MH,1699814979
29,sitka,57.0531,-135.33,276.09,87,0,2.06,US,1699814979
30,hithadhoo,-0.6,73.0833,300.5,80,63,2.65,MV,1699814979
31,vorgashor,67.5833,63.95,263.64,94,18,5.05,RU,1699814979
32,atafu village,-8.5421,-172.5159,301.8,71,100,0.77,TK,1699814979
33,fale old settlement,-9.3852,-171.2468,301.8,72,100,0.98,TK,1699814980
34,balotra,25.8333,72.2333,295.73,27,34,3.22,IN,1699814980
35,jiangyou,31.7667,104.7167,282.54,92,100,1.84,CN,1699814980
36,kodiak,57.79,-152.4072,273.88,60,0,2.57,US,1699814980
37,kaitong,44.8135,123.15,263.3,82,3,3.42,CN,1699814980
38,mata-utu,-13.2816,-176.1745,301.74,76,22,7.04,WF,1699814980
39,hermanus,-34.4187,19.2345,288.99,77,0,3.51,ZA,1699814980
40,bethel,41.3712,-73.414,280.34,57,0,0.89,US,1699814750
41,afaahiti,-17.75,-149.2833,301.08,82,7,3.39,PF,1699814981
42,puerto natales,-51.7236,-72.4875,285.4,50,75,8.75,CL,1699814842
43,port saint john's,-31.6229,29.5448,292.21,67,77,5.02,ZA,1699814981
44,porto novo,6.4965,2.6036,300.05,83,34,3.38,BJ,1699814981
45,lichtenegg,47.5804,16.2155,274.99,86,99,1.7,AT,1699814981
46,chui,-33.6971,-53.4616,289.29,84,100,3.23,UY,1699814982
47,san juan bautista,-14.0108,-75.7358,303.94,36,0,5.94,PE,1699814982
48,remire-montjoly,4.9167,-52.2667,302.12,71,6,4.04,GF,1699814982
49,olonkinbyen,70.9221,-8.7187,269.97,67,98,2.64,SJ,1699814982
50,tchollire,8.4022,14.1698,298.58,61,40,0.92,CM,1699814982
51,kulhudhuffushi,6.6221,73.07,300.67,76,100,2.95,MV,1699814982
52,iskateley,67.6803,53.1512,264.83,94,16,2.68,RU,1699814982
53,lensk,60.7253,114.9278,261.66,94,100,1.97,RU,1699814983
54,vila franca do campo,37.7167,-25.4333,292.38,95,100,8.23,PT,1699814983
55,edson,53.5835,-116.4356,276.23,55,0,1.54,CA,1699814709
56,kununurra,-15.7667,128.7333,299.14,94,100,1.54,AU,1699814983
57,monrovia,6.3005,-10.7969,300.02,86,85,4.08,LR,1699814983
58,kapuskasing,49.4169,-82.4331,274.2,86,100,6.69,CA,1699814983
59,phan rang-thap cham,11.5667,108.9833,297.41,85,22,2.51,VN,1699814984
60,carnarvon,-24.8667,113.6333,293.8,83,23,3.37,AU,1699814984
61,karachev,53.1229,34.9852,276.1,96,100,7.34,RU,1699814984
62,qaqortoq,60.7167,-46.0333,267.29,83,2,0.8,GL,1699814984
63,alice springs,-23.7,133.8833,296.9,64,75,2.57,AU,1699814984
64,polovinnoye,54.7914,65.9864,276.85,96,100,2.78,RU,1699814985
65,albany,42.6001,-73.9662,279.15,54,10,1.34,US,1699814837
66,cabo san lucas,22.8909,-109.9124,302.93,57,0,5.14,MX,1699814985
67,isafjordur,66.0755,-23.124,276.17,70,0,1.54,IS,1699814985
68,yellowknife,62.456,-114.3525,267.27,97,100,9.26,CA,1699814985
69,holualoa,19.6228,-155.9522,298.03,82,20,3.09,US,1699814985
70,georgetown,5.4112,100.3354,301.12,89,20,1.03,MY,1699814929
71,ilulissat,69.2167,-51.1,263.16,57,100,1.03,GL,1699814986
72,mount pearl,47.5166,-52.7813,273.79,82,75,6.17,CA,1699814718
73,huarmey,-10.0681,-78.1522,296.27,70,20,5.13,PE,1699814986
74,tidjikja,18.5564,-11.4271,301.2,11,9,3.64,MR,1699814986
75,dalhart,36.0595,-102.5133,293.98,31,0,4.63,US,1699814986
76,invercargill,-46.4,168.35,284.83,95,99,2.68,NZ,1699814986
77,margaret river,-33.95,115.0667,287.24,86,100,5.43,AU,1699814987
78,papao,-17.75,-149.55,301.97,78,16,1.29,PF,1699814987
79,beolgyo,34.8449,127.3429,274.84,78,16,3.59,KR,1699814987
80,ushuaia,-54.8,-68.3,283.94,50,0,2.06,AR,1699814987
81,cabedelo,-6.9811,-34.8339,303.52,64,0,6.42,BR,1699814987
82,chonchi,-42.6128,-73.8092,285.44,47,92,1.16,CL,1699814899
83,saint-philippe,-21.3585,55.7679,294.92,81,45,3.19,RE,1699814987
84,tagiura,32.8817,13.3506,294.66,54,2,0.49,LY,1699814988
85,kayangel,8.0823,134.7173,301.4,80,78,6.52,PW,1699814988
86,bredasdorp,-34.5322,20.0403,287.68,76,0,1.64,ZA,1699814988
87,anadyr,64.75,177.4833,272.43,92,20,7.0,RU,1699814988
88,urucara,-2.5364,-57.76,312.93,25,100,2.62,BR,1699814988
89,tangalle,6.024,80.7911,297.24,92,100,2.42,LK,1699814988
90,boa esperanca,-21.09,-45.5658,309.96,16,83,2.06,BR,1699814989
91,port elizabeth,-33.918,25.5701,288.88,79,0,4.63,ZA,1699814989
92,queenstown,-31.8976,26.8753,284.84,71,0,2.3,ZA,1699814714
93,kelibia,36.8476,11.0939,294.29,78,20,3.6,TN,1699814989
94,bilibino,68.0546,166.4372,259.97,89,100,3.47,RU,1699814989
95,lianzhou,24.7811,112.3825,281.68,87,100,2.65,CN,1699814989
96,kapa'a,22.0752,-159.319,298.76,84,75,8.75,US,1699814990
97,praia da vitoria,38.7333,-27.0667,294.29,83,75,8.28,PT,1699814990
98,fereydun kenar,36.6864,52.5225,292.4,66,100,2.34,IR,1699814990
99,champerico,14.3,-91.9167,307.45,67,4,3.03,GT,1699814990
100,ingeniero guillermo n. juarez,-23.9,-61.85,317.9,18,73,4.19,AR,1699814990
101,oranjemund,-28.55,16.4333,288.55,78,1,9.48,NA,1699814991
102,rio grande,-32.035,-52.0986,289.21,85,100,0.9,BR,1699814991
103,garissa,-0.4536,39.6401,300.5,76,100,4.93,KE,1699814991
104,khandyga,62.6667,135.6,250.53,99,100,0.71,RU,1699814991
105,jamestown,42.097,-79.2353,282.05,49,0,1.34,US,1699814797
106,iqaluit,63.7506,-68.5145,257.0,71,40,9.26,CA,1699814991
107,badger,64.8,-147.5333,266.08,79,100,0.0,US,1699814991
108,aasiaat,68.7098,-52.8699,259.89,84,99,3.28,GL,1699814992
109,antigonish,45.6169,-61.9986,277.6,86,100,1.79,CA,1699814992
110,la ronge,55.1001,-105.2842,275.29,69,75,5.14,CA,1699814992
111,la passe,45.5549,-0.8967,289.28,91,100,6.35,FR,1699814992
112,susuman,62.7833,148.1667,238.97,98,100,0.37,RU,1699814992
113,kedrovyy,56.1667,91.8167,265.38,83,100,1.85,RU,1699814992
114,vilyuchinsk,52.9306,158.4028,270.89,83,56,3.1,RU,1699814992
115,puerto baquerizo moreno,-0.9,-89.6,301.7,61,40,8.23,EC,1699814738
116,arraial do cabo,-22.9661,-42.0278,303.13,74,0,6.17,BR,1699814993
117,lupane,-18.9315,27.807,298.41,22,61,1.97,ZW,1699814993
118,giado,31.9582,12.0203,290.05,38,0,1.5,LY,1699814993
119,luderitz,-26.6481,15.1594,293.38,53,0,9.74,NA,1699814993
120,san patricio,28.017,-97.5169,290.12,93,100,4.08,US,1699814993
121,savran,48.1322,30.0825,281.45,71,98,6.79,UA,1699814993
122,colesberg,-30.72,25.0972,290.1,36,0,8.71,ZA,1699814994
123,antsiranana,-12.2787,49.2917,298.75,79,31,6.95,MG,1699814994
124,ouro sogui,15.6,-13.3167,307.16,33,0,1.03,SN,1699814994
125,chabahar,25.2919,60.643,299.18,54,100,4.74,IR,1699814994
126,nova sintra,14.8667,-24.7167,296.37,68,45,5.95,CV,1699814995
127,tucacas,10.7906,-68.3258,302.57,72,100,4.15,VE,1699814995
128,shinkafi,13.0753,6.5105,300.72,17,3,4.38,NG,1699814995
129,ponta delgada,37.7333,-25.6667,292.55,94,75,10.8,PT,1699814995
130,dong ha,16.8163,107.1003,296.8,94,40,2.05,VN,1699814995
131,vikulovo,56.8167,70.6107,276.27,97,100,2.13,RU,1699814996
132,koryazhma,61.3143,47.1691,273.1,97,100,3.67,RU,1699814996
133,tchaourou,8.8865,2.5975,302.44,41,11,1.41,BJ,1699814996
134,brookings,44.3114,-96.7984,287.29,45,0,10.8,US,1699814886
135,lebu,-37.6167,-73.65,284.55,56,3,8.12,CL,1699814996
136,saint-pierre,-21.3393,55.4781,294.97,78,0,3.09,RE,1699814996
137,lihue,21.9789,-159.3672,298.35,81,75,8.75,US,1699814997
138,crawfordsville,40.0411,-86.8745,286.9,35,0,3.96,US,1699814997
139,daru,-9.0763,143.2092,297.56,83,39,3.94,PG,1699814997
140,college,64.8569,-147.8028,266.12,79,100,0.0,US,1699814997
141,kota kinabalu,5.9749,116.0724,298.14,88,20,2.06,MY,1699814997
142,woolgoolga,-30.1106,153.2007,295.4,91,45,6.91,AU,1699814997
143,ntoum,0.3833,9.7833,298.07,91,97,1.43,GA,1699814998
144,minas de marcona,-15.2119,-75.1103,290.33,79,85,7.35,PE,1699814998
145,broome,42.2506,-75.833,278.2,70,100,4.12,US,1699814998
146,hastings,50.8552,0.5729,285.11,90,100,4.47,GB,1699814998
147,muang khong,14.1167,105.85,295.94,92,11,1.26,LA,1699814998
148,mount gambier,-37.8333,140.7667,280.1,95,37,0.47,AU,1699814998
149,vanimo,-2.6741,141.3028,298.33,91,95,2.1,PG,1699814998
150,tolanaro,-25.0319,46.9987,296.19,73,0,9.26,MG,1699814999
151,vernon,50.2581,-119.2691,279.6,62,100,2.57,CA,1699814932
152,necochea,-38.5473,-58.7368,286.88,43,100,7.34,AR,1699814999
153,el granada,37.5027,-122.4694,295.65,60,20,2.06,US,1699814999
154,torghay,49.6339,63.4981,278.04,90,17,3.08,KZ,1699814999
155,avarua,-21.2078,-159.775,295.18,64,75,2.57,CK,1699814999
156,repatriacion,-25.5333,-55.95,310.45,43,5,2.3,PY,1699815000
157,new norfolk,-42.7826,147.0587,281.87,90,16,1.67,AU,1699815000
158,al mawsil al jadidah,36.3346,43.0978,295.08,34,100,1.48,IQ,1699815000
159,howrah,22.5892,88.3103,296.15,83,11,2.06,IN,1699815000
160,dellys,36.9172,3.9131,291.51,78,14,3.88,DZ,1699815000
161,flin flon,54.7682,-101.865,273.06,100,100,2.57,CA,1699814977
162,mizan teferi,6.9833,35.5833,289.89,95,18,1.18,ET,1699815001
163,mahina,-17.5065,-149.489,302.02,79,75,5.66,PF,1699815001
164,port alfred,-33.5906,26.891,287.14,85,6,0.89,ZA,1699815001
165,mankera,31.3866,71.4407,294.77,39,18,1.55,PK,1699815001
166,tralee,52.2704,-9.7026,283.07,97,100,3.14,IE,1699815002
167,cidreira,-30.1811,-50.2056,293.66,96,100,3.62,BR,1699815002
168,san antonio de pale,-1.4014,5.6325,299.58,84,100,5.4,GQ,1699815002
169,kuta,-8.7233,115.1723,301.12,83,40,2.68,ID,1699815003
170,ta`u,-14.2336,-169.5144,300.73,81,7,5.64,AS,1699815003
171,eyl,7.9803,49.8164,300.68,79,100,7.92,SO,1699815004
172,constantia,44.1833,28.65,279.65,42,100,5.64,RO,1699815004
173,san juan de miraflores,-12.1629,-76.9635,294.44,75,49,3.99,PE,1699815005
174,mahibadhoo,3.7833,72.9667,300.54,77,77,1.92,MV,1699815005
175,usogorsk,63.4106,48.6872,266.85,97,93,3.5,RU,1699815005
176,bikenibeu village,1.3673,173.1241,301.13,89,75,1.54,KI,1699815006
177,tofol,5.3248,163.0078,299.83,76,94,9.51,FM,1699815006
178,wailua homesteads,22.0669,-159.378,298.01,84,75,8.75,US,1699815007
179,kuanda,56.3161,116.0806,255.87,92,42,0.52,RU,1699815007
180,mugia,43.1041,-9.2179,291.57,96,61,10.11,ES,1699815007
181,sangin,32.0728,64.8359,288.82,29,5,0.73,AF,1699815008
182,ayang-ni,38.2431,125.78,270.95,53,0,2.65,KP,1699815008
183,xai-xai,-25.0519,33.6442,296.26,79,94,7.48,MZ,1699815008
184,santa barbara,34.7333,-120.0343,297.23,22,0,2.06,US,1699815008
185,fort st. john,56.2499,-120.8529,275.09,60,20,5.66,CA,1699815009
186,park city,42.3484,-87.8842,286.37,45,0,8.23,US,1699815009
187,keflavik,64.0049,-22.5624,277.39,70,75,8.23,IS,1699815009
188,tazovsky,67.4667,78.7,268.76,95,100,6.27,RU,1699815009
189,mirai,-21.1953,-42.6142,308.45,36,14,1.82,BR,1699815010
190,guelmim,28.987,-10.0574,303.34,13,100,2.06,MA,1699814737
191,kaihua,23.3687,104.28,289.69,97,100,2.08,CN,1699815010
192,vorkuta,67.5,64.0,263.78,94,15,4.87,RU,1699815010
193,cockburn town,21.4612,-71.1419,301.41,78,0,8.77,TC,1699815011
194,codrington,-38.2667,141.9667,283.65,77,82,2.76,AU,1699815011
195,mount isa,-20.7333,139.5,293.02,88,0,0.0,AU,1699815011
196,darab,28.7519,54.5444,290.34,30,0,0.98,IR,1699815012
197,taksimo,56.3444,114.8794,258.58,75,17,0.91,RU,1699815012
198,talnakh,69.4865,88.3972,270.49,95,100,5.26,RU,1699815013
199,port lincoln,-34.7333,135.8667,285.88,83,57,5.02,AU,1699815013
200,aoulef,26.9667,1.0833,298.94,23,0,3.7,DZ,1699815013
201,bikin,46.8161,134.26,261.88,93,99,2.12,RU,1699815014
202,peniche,39.3558,-9.3811,292.75,93,15,4.62,PT,1699815014
203,alofi,-19.0595,-169.9187,296.09,94,100,5.14,NU,1699815014
204,arteche,12.2645,125.4048,299.33,88,100,2.08,PH,1699815015
205,usinsk,65.9939,57.5281,262.08,97,30,2.68,RU,1699815015
206,punta arenas,-53.15,-70.9167,287.21,41,75,12.86,CL,1699814914
207,petropavlovsk-kamchatsky,53.0452,158.6483,270.07,74,75,12.52,RU,1699815016
208,khuzdar,27.7384,66.6434,289.31,22,12,2.38,PK,1699815016
209,darlowo,54.421,16.4107,280.15,87,100,5.55,PL,1699815016
210,hawaiian paradise park,19.5933,-154.9731,299.7,78,40,2.57,US,1699815017
211,polyarnyy,69.1989,33.4478,265.78,97,88,4.82,RU,1699815017
212,tommot,58.9564,126.2925,262.7,91,100,4.76,RU,1699815017
213,tapes,-30.6733,-51.3958,292.45,97,100,4.49,BR,1699815017
214,mossel bay,-34.1831,22.146,289.11,74,0,0.54,ZA,1699815018
215,mechanicsville,37.6088,-77.3733,288.1,54,20,6.17,US,1699815018
216,kingston,17.997,-76.7936,306.68,68,40,9.77,JM,1699815018
217,leppavirta,62.4901,27.7826,272.01,90,100,4.99,FI,1699815019
218,laughlin,35.1678,-114.573,299.82,11,0,9.77,US,1699815019
219,nemuro,43.3236,145.575,276.14,62,34,3.52,JP,1699815019
220,sinabang,2.4803,96.3801,299.21,87,100,2.32,ID,1699815020
221,fort bragg,35.139,-79.006,290.27,55,0,6.17,US,1699815020
222,antofagasta,-23.65,-70.4,292.75,67,10,5.82,CL,1699814711
223,flying fish cove,-10.4217,105.6791,298.97,83,100,4.12,CX,1699815021
224,harpswell center,43.8018,-69.9842,279.29,59,7,1.79,US,1699815022
225,savanna-la-mar,18.219,-78.1332,304.22,72,64,2.16,JM,1699815022
226,coquimbo,-29.9533,-71.3436,292.0,59,0,7.2,CL,1699815023
227,ribeira brava,32.65,-17.0667,294.82,80,70,1.86,PT,1699815023
228,sergeyevka,53.88,67.4158,276.04,92,100,2.28,KZ,1699815023
229,enewetak,11.3474,162.3373,301.16,78,100,9.0,MH,1699815024
230,weno,7.4515,151.8468,299.12,100,100,2.57,FM,1699815024
231,tomatlan,19.9333,-105.25,306.31,50,11,2.33,MX,1699815025
232,tewkesbury,51.9945,-2.1568,284.22,92,75,2.06,GB,1699815025
233,saint-joseph,-21.3667,55.6167,294.36,80,24,3.02,RE,1699815025
234,lompoc,34.6391,-120.4579,299.59,39,12,6.26,US,1699815010
235,ancud,-41.8697,-73.8203,282.96,51,53,4.8,CL,1699815027
236,longyearbyen,78.2186,15.6401,271.06,69,75,4.12,SJ,1699815027
237,tazacorte,28.629,-17.9293,295.69,90,40,4.63,ES,1699815027
238,suileng,47.25,127.0833,259.11,94,21,2.04,CN,1699815028
239,dongcun,36.7767,121.1597,273.99,68,15,3.94,CN,1699815028
240,nahiyat al fuhud,30.9697,46.7228,298.24,35,100,1.49,IQ,1699815028
241,lentvaris,54.65,25.05,278.73,95,75,4.63,LT,1699815029
242,rikaze,29.25,88.8833,272.99,22,0,1.84,CN,1699815030
243,hakui,36.8833,136.7833,279.44,79,100,6.46,JP,1699815030
244,al minya,28.1099,30.7503,298.78,49,6,3.7,EG,1699815031
245,borogontsy,62.6683,131.1683,256.23,95,97,3.35,RU,1699814790
246,franceville,-1.6333,13.5836,296.1,90,81,1.26,GA,1699815031
247,fisterra,42.9049,-9.2629,291.49,97,60,9.54,ES,1699815031
248,cannonvale,-20.2833,148.7,296.81,73,17,4.46,AU,1699815031
249,suwannaphum,15.6035,103.8021,297.51,79,45,4.63,TH,1699815032
250,ust-nera,64.5667,143.2,248.89,99,100,0.95,RU,1699815032
251,hasaki,35.7333,140.8333,281.37,82,79,10.68,JP,1699815032
252,mazatlan,23.2167,-106.4167,299.21,74,75,4.12,MX,1699814792
253,lorengau,-2.0226,147.2712,299.15,80,95,2.29,PG,1699815032
254,north bend,43.4065,-124.2243,288.1,88,0,2.57,US,1699815033
255,puerto deseado,-47.7503,-65.8938,283.2,42,69,10.29,AR,1699815033
256,hadibu,12.65,54.0333,300.08,82,44,5.94,YE,1699815033
257,whitehorse,60.7161,-135.0538,271.58,86,100,4.63,CA,1699815033
258,tsiombe,-25.3,45.4833,295.43,75,0,1.87,MG,1699815033
259,maragogi,-9.0122,-35.2225,300.29,62,1,4.88,BR,1699815034
260,baiti,13.745,-14.7482,305.31,19,100,2.09,SN,1699815034
261,bafoulabe,13.8065,-10.8321,305.86,15,87,2.19,ML,1699814770
262,hincesti,46.8258,28.5936,280.91,82,91,3.35,MD,1699815034
263,gadzhiyevo,69.2551,33.3362,265.24,98,90,4.65,RU,1699815035
264,katima mulilo,-17.5,24.2667,301.46,21,4,1.4,NA,1699815035
265,lebanon,36.2081,-86.2911,293.51,42,0,0.89,US,1699814946
266,kangding,30.0513,101.9603,277.8,79,51,1.42,CN,1699815035
267,hiratacho,35.4333,132.8167,281.16,85,100,3.67,JP,1699815036
268,bodo,67.28,14.405,272.47,60,0,11.83,NO,1699815036
269,mendi,-6.1761,143.6513,282.67,95,24,1.74,PG,1699815036
270,geraldton,-28.7667,114.6,292.38,77,0,5.14,AU,1699815036
271,dunedin,-45.8742,170.5036,286.92,69,100,3.61,NZ,1699814872
272,kandy,7.2955,80.6356,294.36,96,100,1.17,LK,1699815037
273,tukrah,32.5341,20.5791,294.33,72,100,2.64,LY,1699815037
274,klaksvik,62.2266,-6.589,278.66,71,100,9.81,FO,1699815037
275,salekhard,66.53,66.6019,262.21,87,6,4.06,RU,1699815037
276,brownwood,31.7093,-98.9912,289.77,77,0,0.0,US,1699814949
277,happy valley-goose bay,53.3168,-60.3315,273.32,59,75,5.14,CA,1699815038
